week_start,prev_weekly_close,weekly_open,weekly_low,weekly_high,gap,gap_in_pips,fill_date_week1,gap_filled_week1,fill_date_week2,gap_filled_week2,fill_date_week3,gap_filled_week3,fill_date_week4,gap_filled_week4,overall_filled
2020-01-20,1.11380,1.10946,1.10212,1.11198,-0.00434,43.4000000000000000,,0,,0,,0,,0,0
2020-01-27,1.10553,1.10254,1.09932,1.10902,-0.00299,29.9000000000000000,2020-01-31,1,2020-02-03,1,,0,,0,1
2020-02-03,1.10288,1.10898,1.09469,1.10891,0.00610,61.0000000000000000,2020-02-05,1,2020-02-10,1,2020-02-17,1,2020-02-24,1,1
2020-02-10,1.09810,1.09493,1.08313,1.09613,-0.00317,31.7000000000000000,,0,,0,2020-02-27,1,2020-03-02,1,1
2020-02-24,1.07877,1.08391,1.08085,1.10528,0.00514,51.4000000000000000,,0,,0,,0,2020-03-19,1,1
2020-03-02,1.09955,1.10513,1.10373,1.13547,0.00558,55.8000000000000000,,0,,0,2020-03-17,1,2020-03-23,1,1
2020-03-09,1.12238,1.13860,1.10654,1.14958,0.01622,162.2000000000000000,2020-03-12,1,2020-03-16,1,2020-03-23,1,2020-03-30,1,1
2020-03-16,1.11836,1.11554,1.06545,1.12354,-0.00282,28.2000000000000000,2020-03-16,1,,0,,0,,0,1
2020-03-23,1.06585,1.06944,1.06604,1.10865,0.00359,35.9000000000000000,,0,,0,,0,,0,0
2020-03-30,1.10462,1.11391,1.07762,1.11378,0.00929,92.9000000000000000,2020-03-30,1,2020-04-06,1,2020-04-13,1,2020-04-20,1,1
2020-04-06,1.08439,1.08070,1.07692,1.09541,-0.00369,36.9000000000000000,2020-04-07,1,2020-04-13,1,2020-04-20,1,2020-04-27,1,1
2020-04-27,1.07763,1.08237,1.08113,1.10162,0.00474,47.4000000000000000,,0,2020-05-07,1,,0,,0,1
2020-05-25,1.09524,1.09078,1.08720,1.11447,-0.00446,44.6000000000000000,2020-05-26,1,2020-06-01,1,2020-06-08,1,2020-06-15,1,1
2020-06-01,1.10781,1.11185,1.11015,1.13839,0.00404,40.4000000000000000,,0,,0,,0,,0,0
2020-06-15,1.12894,1.12520,1.11739,1.13498,-0.00374,37.4000000000000000,2020-06-15,1,2020-06-23,1,2020-07-02,1,2020-07-06,1,1
2020-06-22,1.12072,1.11776,1.11756,1.13490,-0.00296,29.6000000000000000,2020-06-22,1,2020-06-29,1,2020-07-06,1,2020-07-13,1,1
2020-07-13,1.12892,1.13100,1.13045,1.14530,0.00208,20.8000000000000000,,0,,0,,0,,0,0
2020-07-20,1.13865,1.14430,1.14052,1.16401,0.00565,56.5000000000000000,,0,,0,,0,,0,0
2020-07-27,1.15950,1.16526,1.16526,1.19080,0.00576,57.6000000000000000,,0,,0,,0,,0,0
2020-08-03,1.18737,1.17823,1.17014,1.19119,-0.00914,91.4000000000000000,2020-08-05,1,,0,2020-08-17,1,2020-08-27,1,1
2020-08-10,1.18751,1.17827,1.17130,1.18640,-0.00924,92.4000000000000000,,0,2020-08-17,1,2020-08-27,1,2020-08-31,1,1
2020-08-17,1.18189,1.18526,1.17549,1.19652,0.00337,33.7000000000000000,2020-08-20,1,2020-08-24,1,2020-09-03,1,2020-09-07,1,1
2020-08-24,1.18708,1.17980,1.17662,1.19204,-0.00728,72.8000000000000000,2020-08-27,1,2020-08-31,1,2020-09-10,1,2020-09-14,1,1
2020-08-31,1.18205,1.19182,1.17818,1.20113,0.00977,97.7000000000000000,2020-09-03,1,2020-09-07,1,2020-09-16,1,2020-09-21,1,1
2020-09-28,1.16737,1.16353,1.16167,1.17670,-0.00384,38.4000000000000000,2020-09-28,1,2020-10-05,1,2020-10-12,1,2020-10-19,1,1
2020-10-05,1.17441,1.17204,1.17193,1.18245,-0.00237,23.7000000000000000,2020-10-05,1,2020-10-12,1,2020-10-19,1,2020-10-26,1,1
2020-10-12,1.17671,1.18168,1.16902,1.18273,0.00497,49.7000000000000000,2020-10-13,1,2020-10-19,1,2020-10-28,1,2020-11-02,1,1
2020-10-26,1.18140,1.18485,1.16431,1.18510,0.00345,34.5000000000000000,2020-10-26,1,2020-11-02,1,2020-11-09,1,,0,1
2020-11-02,1.16768,1.16421,1.16077,1.18906,-0.00347,34.7000000000000000,2020-11-03,1,2020-11-09,1,2020-11-16,1,2020-11-23,1,1
2020-11-09,1.18142,1.18930,1.17473,1.19192,0.00788,78.8000000000000000,2020-11-09,1,,0,2020-11-23,1,,0,1
2020-11-16,1.18053,1.18453,1.18147,1.18927,0.00400,40.0000000000000000,,0,2020-11-23,1,,0,,0,1
2020-11-30,1.19119,1.19715,1.19360,1.21777,0.00596,59.6000000000000000,,0,,0,,0,,0,0
2020-12-07,1.21454,1.21214,1.20739,1.21640,-0.00240,24.0000000000000000,2020-12-07,1,2020-12-14,1,2020-12-21,1,2020-12-28,1,1
2020-12-21,1.22620,1.22161,1.21308,1.22590,-0.00459,45.9000000000000000,,0,2020-12-29,1,2021-01-04,1,,0,1
2020-12-28,1.21847,1.22051,1.21350,1.23095,0.00204,20.4000000000000000,2020-12-28,1,2021-01-04,1,2021-01-11,1,2021-01-18,1,1
2021-01-04,1.21729,1.22507,1.21714,1.23503,0.00778,77.8000000000000000,2021-01-04,1,2021-01-11,1,2021-01-18,1,2021-01-25,1,1
2021-01-11,1.22687,1.21862,1.20847,1.22249,-0.00825,82.5000000000000000,,0,,0,,0,,0,0
2021-01-18,1.21530,1.20681,1.20555,1.21880,-0.00849,84.9000000000000000,2021-01-20,1,2021-01-25,1,,0,,0,1
2021-02-08,1.19674,1.20488,1.20214,1.21510,0.00814,81.4000000000000000,,0,,0,,0,2021-03-05,1,1
2021-02-22,1.20918,1.21264,1.20918,1.22416,0.00346,34.6000000000000000,2021-02-26,1,2021-03-01,1,2021-03-08,1,2021-03-15,1,1
2021-03-01,1.21601,1.20896,1.18980,1.21105,-0.00705,70.5000000000000000,,0,,0,,0,,0,0
2021-03-08,1.19686,1.19256,1.18361,1.19904,-0.00430,43.0000000000000000,2021-03-11,1,2021-03-18,1,,0,,0,1
2021-03-15,1.19816,1.19500,1.18749,1.19910,-0.00316,31.6000000000000000,2021-03-18,1,,0,,0,,0,1
2021-03-22,1.19177,1.18831,1.17726,1.19432,-0.00346,34.6000000000000000,2021-03-22,1,,0,2021-04-09,1,2021-04-12,1,1
2021-04-26,1.20179,1.20899,1.20247,1.21521,0.00720,72.0000000000000000,,0,2021-05-03,1,,0,,0,1
2021-05-03,1.21249,1.20278,1.19872,1.21654,-0.00971,97.1000000000000000,2021-05-07,1,2021-05-10,1,2021-05-17,1,2021-05-24,1,1
2021-05-10,1.20659,1.21711,1.20531,1.21797,0.01052,105.2000000000000000,2021-05-13,1,,0,,0,,0,1
2021-05-17,1.20802,1.21504,1.21275,1.22480,0.00702,70.2000000000000000,,0,,0,,0,,0,0
2021-05-24,1.22279,1.21832,1.21334,1.22670,-0.00447,44.7000000000000000,2021-05-24,1,2021-05-31,1,,0,,0,1
2021-06-07,1.21303,1.21684,1.20950,1.22190,0.00381,38.1000000000000000,2021-06-11,1,2021-06-14,1,2021-06-21,1,2021-06-28,1,1
2021-06-14,1.21732,1.21102,1.18511,1.21492,-0.00630,63.0000000000000000,,0,,0,,0,,0,0
2021-06-21,1.19133,1.18737,1.18488,1.19745,-0.00396,39.6000000000000000,2021-06-21,1,2021-06-28,1,,0,,0,1
2021-07-12,1.18469,1.18730,1.17726,1.18821,0.00261,26.1000000000000000,2021-07-12,1,2021-07-19,1,2021-07-26,1,2021-08-04,1,1
2021-08-02,1.18920,1.18670,1.17564,1.19020,-0.00250,25.0000000000000000,2021-08-02,1,,0,,0,,0,1
2021-08-09,1.18332,1.17495,1.17064,1.18030,-0.00837,83.7000000000000000,,0,,0,,0,2021-08-31,1,1
2021-08-16,1.17361,1.17947,1.16649,1.18036,0.00586,58.6000000000000000,2021-08-17,1,2021-08-23,1,,0,,0,1
2021-08-23,1.16768,1.16975,1.16956,1.18036,0.00207,20.7000000000000000,,0,,0,,0,,0,0
2021-08-30,1.17530,1.17990,1.17845,1.19076,0.00460,46.0000000000000000,,0,,0,2021-09-16,1,2021-09-20,1,1
2021-09-20,1.17648,1.17299,1.16842,1.17510,-0.00349,34.9000000000000000,,0,,0,,0,,0,0
2021-10-04,1.15742,1.16073,1.15302,1.16401,0.00331,33.1000000000000000,2021-10-06,1,2021-10-11,1,2021-10-18,1,2021-10-29,1,1
2021-11-01,1.16837,1.15567,1.15141,1.16171,-0.01270,127.0000000000000000,,0,,0,,0,,0,0
2021-11-22,1.13701,1.12757,1.11878,1.13220,-0.00944,94.4000000000000000,,0,2021-11-30,1,,0,,0,1
2021-11-29,1.12090,1.12932,1.12461,1.13817,0.00842,84.2000000000000000,,0,,0,,0,,0,0
2021-12-20,1.13354,1.12435,1.12373,1.13456,-0.00919,91.9000000000000000,2021-12-22,1,2021-12-28,1,2022-01-03,1,2022-01-10,1,1
2022-01-03,1.13232,1.13735,1.12734,1.13759,0.00503,50.3000000000000000,2022-01-03,1,2022-01-10,1,2022-01-19,1,2022-01-24,1,1
2022-01-10,1.12959,1.13540,1.12883,1.14837,0.00581,58.1000000000000000,2022-01-10,1,,0,2022-01-24,1,2022-01-31,1,1
2022-01-17,1.14566,1.14107,1.13022,1.14346,-0.00459,45.9000000000000000,,0,,0,2022-02-04,1,2022-02-07,1,1
2022-01-24,1.13154,1.13415,1.11233,1.13410,0.00261,26.1000000000000000,2022-01-24,1,2022-01-31,1,,0,2022-02-14,1,1
2022-02-07,1.14351,1.14551,1.13713,1.14943,0.00200,20.0000000000000000,2022-02-07,1,2022-02-14,1,2022-02-21,1,2022-02-28,1,1
2022-02-14,1.14117,1.13651,1.12928,1.13932,-0.00466,46.6000000000000000,,0,,0,,0,,0,0
2022-02-21,1.13639,1.13172,1.11105,1.13856,-0.00467,46.7000000000000000,2022-02-21,1,,0,,0,,0,1
2022-03-07,1.10693,1.08745,1.08086,1.11162,-0.01948,194.8000000000000000,2022-03-09,1,2022-03-17,1,,0,2022-03-29,1,1
2022-03-14,1.10121,1.09321,1.09025,1.11179,-0.00800,80.0000000000000000,2022-03-15,1,2022-03-21,1,2022-03-29,1,2022-04-04,1,1
2022-03-21,1.10989,1.10431,1.09615,1.10667,-0.00558,55.8000000000000000,,0,2022-03-29,1,,0,,0,1
2022-03-28,1.10090,1.09819,1.09453,1.11831,-0.00271,27.1000000000000000,2022-03-29,1,2022-04-04,1,,0,,0,1
2022-04-04,1.10724,1.10473,1.08369,1.10571,-0.00251,25.1000000000000000,,0,,0,,0,,0,0
2022-04-11,1.08648,1.08849,1.07586,1.09328,0.00201,20.1000000000000000,2022-04-12,1,2022-04-18,1,2022-04-25,1,2022-05-02,1,1
2022-04-25,1.08352,1.08110,1.04728,1.08122,-0.00242,24.2000000000000000,,0,,0,,0,,0,0
2022-05-02,1.05042,1.05360,1.04854,1.06400,0.00318,31.8000000000000000,2022-05-02,1,2022-05-09,1,2022-05-16,1,,0,1
2022-05-16,1.03796,1.04006,1.03913,1.05988,0.00210,21.0000000000000000,,0,,0,,0,,0,0
2022-06-06,1.07511,1.07260,1.05077,1.07701,-0.00251,25.1000000000000000,2022-06-06,1,,0,,0,,0,1
2022-06-13,1.06192,1.04900,1.03826,1.05518,-0.01292,129.2000000000000000,,0,,0,,0,,0,0
2022-06-20,1.05469,1.04914,1.04719,1.06029,-0.00555,55.5000000000000000,2022-06-21,1,2022-06-27,1,,0,,0,1
2022-06-27,1.05201,1.05661,1.03699,1.06142,0.00460,46.0000000000000000,2022-06-28,1,2022-07-04,1,2022-07-11,1,2022-07-18,1,1
2022-07-04,1.04777,1.04339,1.00797,1.04635,-0.00438,43.8000000000000000,,0,,0,,0,,0,0
2022-07-18,1.00257,1.00963,1.00824,1.02754,0.00706,70.6000000000000000,,0,,0,,0,,0,0
2022-07-25,1.02211,1.02002,1.01074,1.02564,-0.00209,20.9000000000000000,2022-07-25,1,2022-08-01,1,2022-08-08,1,2022-08-15,1,1
2022-08-08,1.02478,1.01709,1.01600,1.03691,-0.00769,76.9000000000000000,2022-08-10,1,2022-08-15,1,,0,,0,1
2022-08-15,1.03167,1.02564,1.00362,1.02672,-0.00603,60.3000000000000000,,0,,0,,0,,0,0
2022-08-22,1.00899,1.00352,0.99031,1.00883,-0.00547,54.7000000000000000,,0,,0,2022-09-09,1,2022-09-12,1,1
2022-08-29,0.99713,0.99387,0.99149,1.00774,-0.00326,32.6000000000000000,2022-08-29,1,2022-09-06,1,2022-09-12,1,2022-09-19,1,1
2022-09-05,0.99523,0.99094,0.98651,1.01122,-0.00429,42.9000000000000000,2022-09-06,1,2022-09-12,1,2022-09-19,1,,0,1
2022-09-12,1.00120,1.00714,0.99458,1.01968,0.00594,59.4000000000000000,2022-09-13,1,2022-09-19,1,2022-09-26,1,2022-10-03,1,1
2022-09-19,0.99883,1.00223,0.97039,1.00503,0.00340,34.0000000000000000,2022-09-19,1,2022-09-26,1,2022-10-03,1,2022-10-10,1,1
2022-09-26,0.98416,0.96899,0.95402,0.98500,-0.01517,151.7000000000000000,2022-09-30,1,2022-10-03,1,,0,2022-10-17,1,1
2022-10-03,0.98296,0.97927,0.97317,0.99942,-0.00369,36.9000000000000000,2022-10-03,1,,0,2022-10-17,1,2022-10-24,1,1
2022-10-10,0.97890,0.97350,0.96360,0.98038,-0.00540,54.0000000000000000,2022-10-13,1,2022-10-17,1,2022-10-24,1,2022-10-31,1,1
2022-10-24,0.97789,0.98601,0.98089,1.00949,0.00812,81.2000000000000000,,0,2022-11-03,1,,0,,0,1
2022-11-07,0.97496,0.99288,0.99195,1.03384,0.01792,179.2000000000000000,,0,,0,,0,,0,0
2022-11-14,1.01922,1.03286,1.02736,1.04755,0.01364,136.4000000000000000,,0,,0,,0,,0,0
2022-11-21,1.03617,1.03309,1.02270,1.04482,-0.00308,30.8000000000000000,2022-11-23,1,2022-11-28,1,2022-12-05,1,2022-12-12,1,1
2022-11-28,1.04081,1.03675,1.02923,1.05452,-0.00406,40.6000000000000000,2022-11-28,1,2022-12-05,1,2022-12-12,1,2022-12-19,1,1
2022-12-12,1.05597,1.05222,1.05071,1.07256,-0.00375,37.5000000000000000,2022-12-12,1,2022-12-19,1,2022-12-26,1,2023-01-02,1,1
2022-12-19,1.06406,1.05850,1.05772,1.06590,-0.00556,55.6000000000000000,2022-12-19,1,2022-12-27,1,2023-01-02,1,2023-01-09,1,1
2022-12-26,1.06033,1.06678,1.06090,1.06979,0.00645,64.5000000000000000,,0,2023-01-03,1,,0,,0,1
2023-01-02,1.06608,1.07097,1.04853,1.07124,0.00489,48.9000000000000000,2023-01-02,1,2023-01-09,1,,0,,0,1
2023-01-09,1.05222,1.06563,1.06528,1.08678,0.01341,134.1000000000000000,,0,,0,,0,,0,0
2023-01-16,1.08602,1.08246,1.07670,1.08845,-0.00356,35.6000000000000000,2023-01-16,1,2023-01-23,1,2023-01-30,1,,0,1
2023-01-23,1.08339,1.08651,1.08388,1.09325,0.00312,31.2000000000000000,,0,2023-01-31,1,2023-02-06,1,2023-02-13,1,1
2023-01-30,1.08944,1.08715,1.08042,1.10266,-0.00229,22.9000000000000000,2023-01-30,1,,0,,0,,0,1
2023-02-06,1.09051,1.07909,1.06693,1.08003,-0.01142,114.2000000000000000,,0,,0,,0,,0,0
2023-02-13,1.07423,1.06777,1.06138,1.07984,-0.00646,64.6000000000000000,2023-02-14,1,,0,,0,,0,1
2023-02-27,1.05980,1.05548,1.05335,1.06911,-0.00432,43.2000000000000000,2023-02-27,1,2023-03-06,1,2023-03-13,1,2023-03-20,1,1
2023-03-06,1.05997,1.06262,1.05266,1.06986,0.00265,26.5000000000000000,2023-03-07,1,2023-03-15,1,,0,,0,1
2023-03-13,1.05847,1.06836,1.05203,1.07601,0.00989,98.9000000000000000,2023-03-15,1,,0,,0,,0,1
2023-03-20,1.06141,1.06789,1.06324,1.09290,0.00648,64.8000000000000000,,0,,0,,0,,0,0
2023-03-27,1.08351,1.07782,1.07481,1.09259,-0.00569,56.9000000000000000,2023-03-28,1,2023-04-03,1,2023-04-10,1,2023-04-17,1,1
2023-04-03,1.09046,1.08033,1.07893,1.09716,-0.01013,101.3000000000000000,2023-04-03,1,2023-04-10,1,2023-04-17,1,2023-04-24,1,1
2023-04-17,1.10546,1.09866,1.09107,1.09990,-0.00680,68.0000000000000000,,0,2023-04-25,1,2023-05-03,1,,0,1
2023-04-24,1.09709,1.09923,1.09656,1.10941,0.00214,21.4000000000000000,2023-04-24,1,2023-05-01,1,2023-05-09,1,2023-05-15,1,1
2023-05-01,1.10320,1.10109,1.09436,1.10914,-0.00211,21.1000000000000000,2023-05-01,1,2023-05-08,1,,0,,0,1
2023-05-15,1.09121,1.08527,1.07610,1.09036,-0.00594,59.4000000000000000,,0,,0,,0,,0,0
2023-05-22,1.07754,1.08227,1.07021,1.08307,0.00473,47.3000000000000000,2023-05-23,1,2023-05-29,1,2023-06-05,1,2023-06-12,1,1
2023-06-05,1.07608,1.06986,1.06673,1.07875,-0.00622,62.2000000000000000,2023-06-08,1,2023-06-12,1,2023-06-19,1,2023-06-26,1,1
2023-06-12,1.07827,1.07510,1.07343,1.09710,-0.00317,31.7000000000000000,2023-06-12,1,2023-06-19,1,2023-06-26,1,2023-07-03,1,1
2023-06-26,1.09589,1.09067,1.08365,1.09761,-0.00522,52.2000000000000000,2023-06-27,1,2023-07-07,1,2023-07-10,1,2023-07-17,1,1
2023-07-03,1.08680,1.09075,1.08344,1.09647,0.00395,39.5000000000000000,2023-07-05,1,,0,,0,,0,1
2023-07-10,1.08906,1.09697,1.09445,1.12448,0.00791,79.1000000000000000,,0,,0,,0,,0,0
2023-07-31,1.09788,1.10243,1.09136,1.10455,0.00455,45.5000000000000000,2023-08-01,1,2023-08-07,1,2023-08-14,1,2023-08-21,1,1
2023-08-07,1.09516,1.10027,1.09310,1.10584,0.00511,51.1000000000000000,2023-08-08,1,2023-08-14,1,2023-08-21,1,2023-08-28,1,1
2023-08-14,1.09816,1.09444,1.08465,1.09603,-0.00372,37.2000000000000000,,0,,0,,0,,0,0
2023-09-04,1.08441,1.07759,1.06876,1.08091,-0.00682,68.2000000000000000,,0,,0,,0,,0,0
2023-09-11,1.06978,1.07181,1.06347,1.07654,0.00203,20.3000000000000000,2023-09-14,1,2023-09-18,1,2023-09-25,1,2023-10-02,1,1
2023-09-18,1.06372,1.06683,1.06153,1.07270,0.00311,31.1000000000000000,2023-09-21,1,2023-09-25,1,2023-10-02,1,2023-10-09,1,1
2023-10-09,1.05466,1.05675,1.04962,1.06391,0.00209,20.9000000000000000,2023-10-09,1,2023-10-16,1,2023-10-26,1,2023-11-01,1,1
2023-11-06,1.06191,1.07321,1.06577,1.07570,0.01130,113.0000000000000000,,0,,0,,0,,0,0
2023-11-13,1.06676,1.06902,1.06655,1.08940,0.00226,22.6000000000000000,2023-11-13,1,,0,,0,,0,1
2023-11-20,1.08538,1.09070,1.08546,1.09673,0.00532,53.2000000000000000,,0,2023-12-01,1,2023-12-04,1,2023-12-11,1,1
2023-11-27,1.09063,1.09404,1.08315,1.10169,0.00341,34.1000000000000000,2023-11-30,1,2023-12-04,1,2023-12-11,1,2023-12-18,1,1
2023-12-11,1.07921,1.07658,1.07432,1.10059,-0.00263,26.3000000000000000,2023-12-12,1,2023-12-18,1,2023-12-25,1,2024-01-01,1,1
2023-12-18,1.09936,1.08953,1.08946,1.10406,-0.00983,98.3000000000000000,2023-12-21,1,2023-12-25,1,2024-01-01,1,,0,1
2023-12-25,1.10062,1.10266,1.09999,1.11395,0.00204,20.4000000000000000,2023-12-25,1,2024-01-02,1,2024-01-08,1,2024-01-15,1,1
2024-01-15,1.09816,1.09457,1.08454,1.09589,-0.00359,35.9000000000000000,,0,,0,,0,,0,0
2024-02-05,1.08746,1.07800,1.07246,1.07945,-0.00946,94.6000000000000000,,0,,0,2024-02-22,1,,0,1
2024-02-12,1.07773,1.07982,1.06955,1.08054,0.00209,20.9000000000000000,2024-02-12,1,2024-02-19,1,,0,,0,1
2024-03-04,1.08050,1.08427,1.08386,1.09780,0.00377,37.7000000000000000,,0,,0,,0,2024-03-25,1,1
2024-03-25,1.08624,1.08075,1.07689,1.08641,-0.00549,54.9000000000000000,2024-03-26,1,2024-04-04,1,2024-04-09,1,,0,1
2024-04-15,1.07269,1.06496,1.06041,1.06918,-0.00773,77.3000000000000000,,0,2024-04-25,1,2024-04-29,1,2024-05-06,1,1
2024-04-29,1.07296,1.07069,1.06501,1.08094,-0.00227,22.7000000000000000,2024-04-29,1,2024-05-06,1,2024-05-13,1,2024-05-20,1,1
2024-05-06,1.07331,1.07581,1.07251,1.07933,0.00250,25.0000000000000000,2024-05-09,1,,0,,0,,0,1
2024-05-27,1.08127,1.08476,1.07890,1.08895,0.00349,34.9000000000000000,2024-05-29,1,2024-06-07,1,2024-06-10,1,2024-06-17,1,1
2024-06-10,1.08944,1.07789,1.06681,1.08518,-0.01155,115.5000000000000000,,0,,0,,0,,0,0
2024-06-17,1.07388,1.07022,1.06719,1.07613,-0.00366,36.6000000000000000,2024-06-18,1,2024-06-24,1,2024-07-01,1,2024-07-08,1,1
2024-07-01,1.07085,1.07353,1.07107,1.08383,0.00268,26.8000000000000000,,0,,0,,0,,0,0
2024-08-05,1.07876,1.09108,1.08823,1.10074,0.01232,123.2000000000000000,,0,,0,,0,,0,0
2024-08-19,1.09727,1.10250,1.10239,1.11960,0.00523,52.3000000000000000,,0,,0,,0,,0,0
2024-08-26,1.11172,1.11879,1.10540,1.12011,0.00707,70.7000000000000000,2024-08-28,1,2024-09-02,1,2024-09-09,1,2024-09-16,1,1
2024-09-02,1.10805,1.10448,1.10338,1.11496,-0.00357,35.7000000000000000,2024-09-04,1,2024-09-09,1,2024-09-16,1,2024-09-23,1,1
2024-09-09,1.11111,1.10872,1.10028,1.11025,-0.00239,23.9000000000000000,,0,2024-09-16,1,2024-09-23,1,2024-09-30,1,1
2024-10-07,1.10356,1.09745,1.09141,1.09975,-0.00611,61.1000000000000000,,0,,0,,0,,0,0
2024-10-21,1.08295,1.08686,1.07626,1.08696,0.00391,39.1000000000000000,2024-10-21,1,2024-10-28,1,2024-11-06,1,2024-11-11,1,1
2024-10-28,1.08242,1.07966,1.07704,1.09041,-0.00276,27.6000000000000000,2024-10-28,1,2024-11-04,1,,0,,0,1
2024-11-11,1.07952,1.07149,1.04992,1.07285,-0.00803,80.3000000000000000,,0,,0,,0,,0,0
2024-12-09,1.05856,1.05655,1.04543,1.05928,-0.00201,20.1000000000000000,2024-12-09,1,,0,,0,,0,1
2024-12-16,1.04741,1.05101,1.03443,1.05329,0.00360,36.0000000000000000,2024-12-18,1,2024-12-23,1,2024-12-30,1,,0,1
2024-12-23,1.03649,1.04331,1.03859,1.04482,0.00682,68.2000000000000000,,0,,0,,0,,0,0
